昵称,点赞数,时间,评论
用户4406184416368聪聪,3,2024/7/15 20:47,无人驾驶的车子不要钱我也不会坐！
??七安??,3,2024/7/15 20:47,应该先让政府部门先开始，这样既安全又省钱
笑笑,3,2024/7/15 20:46,大坝决堤为什么不用人工智能？
??Macau 赌肾,3,2024/7/15 20:44,支持萝卜
江小鱼,3,2024/7/15 20:37,为啥这些技术不去美国英国德国去试运他们那边人手不够需要咱的技术这样可以赚别国家的钱
一只 虎,3,2024/7/15 20:36,发展科技没错也不反对，但是要民生第一
?王,3,2024/7/15 20:36,科技是要发展，但不能让很多的人不能没饭吃，
杞★亚★军,3,2024/7/15 20:31,格局打开，什么无人驾驶？人家是要搞无员工赚钱好吧[捂脸][捂脸][捂脸]
福派名品家私 整装高端产品,3,2024/7/15 20:22,无人驾驶取代出租车，网约车，下一步外卖，工厂等等[捂脸]
无敌哥《喝寂寞》,3,2024/7/15 20:14,给中国三十年，等中国没人了，90后，00后，10后，加油。到那时哪里都不用人了，也没人可用
℃1,3,2024/7/15 20:10,人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！李彦宏先生！
魔竭座,3,2024/7/15 20:07,华为也在搞无人驾驶，人家搞的是中高端私家车，人家为什么不搞无人驾驶出租车
慢性怪人丶,3,2024/7/15 20:07,说实话，我更相信自己的手脚去驾驶，而不是去相信一台全自动驾驶的机器，也许是我太守旧了吧[尬笑]
大自在,3,2024/7/15 20:03,无人驾驶不难问题是那1000万人怎么办，1000万能再次找到工作生活的就算能有900万还剩下100万无业游民。
孤帆远影,3,2024/7/15 19:55,科技，应该是去创造新的行业 新的就业机会，而不是来抢存量市场。
伤感的落叶,3,2024/7/15 19:49,科技是为了造福人类，你可以在一些危险行业用无人设备，但是出租没必要，国内就业形势这么严重，有这个蓄水池不好吗？
闽合（佰晓生）林兴业,3,2024/7/15 19:48,给崔磊点赞，支持网约车出租车司机[赞]
??长沙竹炭批发~袁,3,2024/7/15 19:45,就像以前滴滴搭车打车也是很便宜，后面大家形成了习惯后，就涨价格了！
Jeady_熊先生,3,2024/7/15 19:42,国家在推动这个无人驾驶，抱怨没有任何作用。
杠上杠,3,2024/7/15 19:39,他可以去国外搞吖
品道,3,2024/7/15 19:39,不会完全取代，无人驾驶与司机驾驶只会共存！
巴乡源瓢儿白摊摊火锅,3,2024/7/15 19:39,什么萝卜不要到我们重庆来，我们有黄色法拉利
天使。,3,2024/7/15 19:28,还有就是有的司机挣的钱还房贷有的司机挣的钱养养小孩，有的人挣的是一家老小的饭
耐力钢丝,3,2024/7/15 19:28,崔磊是真文人 有大局观   [赞]
修文,3,2024/7/15 19:26,我们打车便宜就行
小手一牵，转账三千,3,2024/7/15 19:26,一边10块钱，一边20块钱。这个真不好说什么，如果价格一样，我肯定支持有人驾驶的车辆
最美不过遇见你,3,2024/7/15 19:21,科技是为人服务的，让人生活更有幸福感，不能因此去挤压一些劳苦大众的生存空间，那是本末倒置了。
画不圆的圆圈。,3,2024/7/15 19:14,很多人只讲逻辑不讲现实，现实就是那些开出租车和送外卖的，只是没有其他技能了只有靠体力来维持生活，说能够创造很多出租车相关就业的，让这一部分原先还能靠外卖和快递的人去哪吃饭？问题是他们不会人工智能这一块的技能啊。
榴莲树下的牛顿,3,2024/7/15 19:09,我感觉快被淘汰了，国家养不养
山水畔,3,2024/7/15 18:53,是啊，从来没人反对无人驾驶技术，但是这个技术的应用确是值得慎重对待的。而不是被少数资本绑架，牺牲一大群民众利益。科技不应该是现在这个样子的[发怒]
Like 森,3,2024/7/15 18:48,的士太贵大力支持无人驾驶
陈达广,3,2024/7/15 18:39,现在40岁以上的普通人已经找不到工作了！
王者聚焦,3,2024/7/15 18:35,虽然我不是出租司机，为了我的安全，我也不会用无人出租车。为了省钱，难道拿命让他们实验吗
七月,3,2024/7/15 18:32,用不了多久就把公交车也得弄下来。最后可能长途大巴也得干下来
明月松间照，清泉石上流,3,2024/7/15 18:24,说的非常透彻，可惜社会上太多单细胞动物，老觉得事不关己，影响不到自己，反而少了那么几元钱的车费感到高兴。科技需要进步，但方向可以选择，希望越来越多的发声，让那些什么都懂，但不想听，不想重视的人该做点事了。
武汉&瑜歌,3,2024/7/15 18:22,人工智能首先应该是服务、辅助人类，而不是和一个个普普通通家庭抢占生活与生存的权利！
长岛冰茶,3,2024/7/15 18:07,取代不取代答案不在现在，中立不好吗？让子弹飞一会儿。
卖木门得程公子,3,2024/7/15 18:04,只说一点，如果太多年轻劳动力待业在家社会会动荡的[抠鼻]
爱吃橙子??,3,2024/7/15 17:49,每天都要跟网约车吵架，要么坐专车，情绪稳定，要么必吵架，如果无人驾驶我倒是愿意坐
一拳打爆火星,3,2024/7/15 17:41,难道电商冲击不也是这样吗，只不过大家现在习惯了，毕竟新发展的事物也有不利的一面。主播虽然为那些人发了声，但是对这个无人驾驶的批判太大，不是一个理性的评判，新事物的发展必然会带来新业态，有的衰败，有的兴起，就像电商和实体店一样，最后留下来的实体店才是百姓的选择
春锅,3,2024/7/15 17:39,问题的关键，历史的洪流挡不住的，不会因为某些人某些势力的意志，就产生转移，挡不住的[我想静静]
爱唱歌的龙者,3,2024/7/15 17:32,机器是冰冷的，如果社会也是冰冷的，科学技术发达又能怎样？
、一叶知秋??,3,2024/7/15 17:29,发展科技的目的是为了造福人类，而不是干掉人类
日月星^O^陈,3,2024/7/15 17:27,科技是服务人的，不是让人下岗的
小朱哥,3,2024/7/15 17:22,这样上路的车，运营牌照是谁签的[发怒][发怒]
绿城回收,3,2024/7/15 17:11,如果全是自动驾驶，车祸必然下降许多
白沙杨梅,3,2024/7/15 17:04,崔磊老师说得太对，一针见血[赞][赞][赞]
图文杂货店,3,2024/7/15 17:04,百度不搞，特斯拉立马就开始了，以后可能百度特斯拉两分天下，或许还有第三家。
不讲/李,3,2024/7/15 16:52,这些车都是电车吧？有司机驾驶的电车，自燃了乘客还有一线生机，而无人驾驶，想想都起鸡皮疙瘩
亚辉,3,2024/7/15 16:42,不管科技怎么发展，你得让人家有活干。养活家庭。
九五二七,3,2024/7/15 16:30,无人技术最应该取代的是危险工种，而不是最没有门槛的工种
东哥。,3,2024/7/15 16:29,说得对，我支持你说的，出租车网约车本来就不容易，还要断人家饭碗，过份啦啊。
虎啸天下,3,2024/7/15 16:27,主播说的好，最起码要让七零后的出租车司机有饭吃
启航1,3,2024/7/15 16:24,驾校还有必要存在吗[抠鼻]以后都无人驾驶了[看]
Amy95迷,3,2024/7/15 16:22,逻辑清晰，有道有据！ [赞]
NONOME,3,2024/7/15 16:20,必须反对，不能让中国超越欧美
小弹簧??????,3,2024/7/15 16:18,我最大感觉就是人越来越没有用了[捂脸]
平安,3,2024/7/15 16:17,[赞]为你点赞
平常,3,2024/7/15 16:13,希望高层能够听到民间的呼声。
困到睡不着,3,2024/7/15 16:10,难道没人质疑为什么不上牌照吗？还有这类车辆堵在路中间不动造成的拥堵怎么解决？这类车辆真的适合短期大量投入吗？
异域,3,2024/7/15 16:06,无人驾驶掉进水里，乘客如何自救，，发生重大事故比如侧翻乘客谁来救，被坏人入侵系统导致大面积交通瘫痪谁负责，，被坏人在乘坐时隐蔽遗留化学危险品谁负责，设备故障冲进人人行道谁负责，乘客突发疾病谁解救，，太多太多，，
??路亚张,3,2024/7/15 16:02,你真的还没懂，哪个行业刚刚开始不是以低价来吸引人，超市刚开也会搞活动优惠，时间到了价格自然跟平常一样，而且萝卜开这么慢，到时候价格差不多谁打萝卜车，网约车司机根本不用着急，年底就涨价了
不再沉默,3,2024/7/15 16:02,科技发展是好事，但是国家的监管部门应立下规定：让无人驾驶车夜晚12点到凌晨五点才能上路出行。让的哥的姐无数的家庭能有饭吃。
键人啪嗒哒,3,2024/7/15 16:00,一直有其他行业兜底的那一群人，这下还能有谁能兜住他们[流泪]
Tonight今晚私厨,3,2024/7/15 15:59,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
Annie  R,3,2024/7/15 15:57,高科技用于国家发展没关系，但是不要让我们老百姓没饭吃
一个老男人,3,2024/7/15 15:53,想想送餐，最初免配送费，商家扣营业额的百分之八的费用，现在配送费一顿饭钱，商家扣营业额的百分之28，血的教训[看]
王丁方,3,2024/7/15 15:46,为什么不应用到人驾驶的车上，以保障行车人的安全？
铭君,3,2024/7/15 15:43,2000万司机养活了2000万家庭 2000万台无人出租车养活一个公司 一个老板  请问什么行业能让2000万司机养活家庭？
阿离,3,2024/7/15 15:42,人类从直立人到农业时代用了十万年，从农业时代到工业时代用了五千年，从工业时代到信息时代用了两百年。虽然残酷但这就是现在。未来变化也会越来越快。不接受就学鸵鸟埋沙子里吧!
九米六箱,3,2024/7/15 15:41,不给人留条路，欲速则不达，这句话说的非常好
空城辉哥,3,2024/7/15 15:41,如果国家每月每人发10000元生活费，无人技术取代人工无所谓
煊煊妈咪,3,2024/7/15 15:26,说的太好了，正能量博主
荆州旅游张敏,3,2024/7/15 15:25,无人取代了一切，这个地球还要人干嘛？
陆儿,3,2024/7/15 15:14,一千万个司机，一千万个家庭的没有饭吃了。
思璇,3,2024/7/15 15:11,公车可用，不用养司机班了，不用接领导孩子老婆了[捂脸][捂脸]
总督,3,2024/7/15 15:07,如果我们国产不上，特斯拉上了
猫咪妈咪,3,2024/7/15 14:49,重庆表示不欢迎
穿越终点,3,2024/7/15 14:48,主播说的很正能量
为主播点赞,3,2024/7/15 14:45,为主播点赞。
当烟遇到酒，烟酒行（任炜）,3,2024/7/15 14:43,说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
朋友,3,2024/7/15 14:42,如果战争，断网，…那个商家能负责？
何丽丹,3,2024/7/15 14:34,给崔磊老师点赞，我也做制造业，养活一大批一线工人[玫瑰]
四狼,3,2024/7/15 14:33,不懂就问也很想知道无人驾驶技术制造全部是中国人制造的吗？？？？
整,3,2024/7/15 14:25,如果有人信号干扰 造成人员伤亡怎么办[微笑]
春1,3,2024/7/15 14:23,全网都在质问萝卜，干嘛不去质问坐萝卜车的人？
皓晧逛宇宙,3,2024/7/15 14:03,中国没人了在无人驾驶，现在多少人没工作，百度的无人驾驶能就业多少人
北方彩印,3,2024/7/15 14:01,解放1000万的人力，去做别的，不好吗？
简兮,3,2024/7/15 13:57,把福利事业做好，教育，看病都免费。都无人化都行。
大蔚,3,2024/7/15 13:46,蚂蚁怎能阻挡时代进步的巨轮？[灵机一动]
欻欻小熊熊,3,2024/7/15 13:42,终于有人说出不同的声音了[赞][赞][赞]
x             .,3,2024/7/15 13:37,网约车只是开始，可不是结束哟
XL?M,3,2024/7/15 13:36,不知道对不对？
汉高祖刘邦,3,2024/7/15 13:29,高层设计错误，应该纠正
AAA冬瓜,3,2024/7/15 13:27,电商问题终究成为一个大问题，不信就慢慢看发展
电瓶总汇,3,2024/7/15 13:22,难道无人驾驶只是我国有吗？欧美科技真的解决不了这个问题吗？
用户3073051806937,3,2024/7/15 13:20,我的一个朋友  49岁  3年前单位被网络直播搞破产了  他也就下岗了    跑了3个月找工作  基本都是保安   最后没办法  跑网约车  每天跑10几个小时  一个月大概有七千左右的收入  4900的房贷  孩子上大学一个月1500的生活费自己一个月生活费大概1000  无人驾驶是要他一家人的命啊
来无影去无踪,3,2024/7/15 13:18,让消费者拿脚投票，选哪一个？不要批判谁对谁错，科技是第一生产力……
哈啰,3,2024/7/15 13:13,为啥各地政府要推广这个玩意儿？
思无涯,3,2024/7/15 13:12,其实，完全可以作为盲人，残疾人等人群的出行。做些无人驾驶残疾人车不更好。
????,3,2024/7/15 13:11,支持无人驾驶技术
多多小宝贝呀,3,2024/7/15 13:06,司机在车里，那么我的安全和司机其实是捆绑的，车里只有乘客，那么所谓的远程司机是不会设身处地的避免事故或者第一时间想法子营救的。所以我不会因为便宜把自己的安全置于远程控制的人
李文发,3,2024/7/15 13:06,不用那么麻烦，无人驾驶的萝卜快跑和有人出租车定价一样公平竞争就行
